Date, Close/Last, Volume, Open, High, Low
1/2/18,$16.32 ,2076575,$16.41 ,$16.50 ,$16.24 
1/3/18,$16.70 ,3074085,$16.91 ,$16.91 ,$16.36 
1/4/18,$16.51 ,2552011,$16.75 ,$16.85 ,$16.24 
1/5/18,$16.79 ,3277766,$16.68 ,$16.84 ,$16.62 
1/8/18,$16.62 ,1915344,$16.73 ,$16.73 ,$16.38 
1/9/18,$17.34 ,6849215,$16.67 ,$17.36 ,$16.55 
1/10/18,$17.33 ,8177875,$17.24 ,$17.66 ,$17.10 
1/11/18,$17.24 ,4781929,$17.33 ,$17.38 ,$17.06 
1/12/18,$17.25 ,3525491,$16.93 ,$17.38 ,$16.87 
1/16/18,$16.82 ,2545807,$17.37 ,$17.40 ,$16.75 
1/17/18,$16.79 ,2542233,$16.94 ,$16.97 ,$16.75 
1/18/18,$16.83 ,2016071,$16.79 ,$17.02 ,$16.77 
1/19/18,$16.84 ,3470008,$16.84 ,$17.03 ,$16.77 
1/22/18,$16.80 ,2248523,$16.90 ,$16.96 ,$16.47 
1/23/18,$16.81 ,2088652,$16.80 ,$16.91 ,$16.71 
1/24/18,$16.64 ,2656449,$16.79 ,$16.87 ,$16.54 
1/25/18,$16.62 ,2641391,$16.71 ,$16.71 ,$16.40 
1/26/18,$16.50 ,2374747,$16.63 ,$16.63 ,$16.30 
1/29/18,$16.36 ,2075230,$16.44 ,$16.67 ,$16.36 
1/30/18,$16.02 ,4766348,$16.21 ,$16.35 ,$15.85 
1/31/18,$16.18 ,2968692,$16.13 ,$16.39 ,$16.11 
2/1/18,$16.37 ,2551067,$16.06 ,$16.43 ,$16.03 
2/2/18,$15.87 ,2359389,$16.35 ,$16.35 ,$15.85 
2/5/18,$15.30 ,4544706,$15.80 ,$15.91 ,$15.20 
2/6/18,$15.73 ,4963535,$15.02 ,$15.91 ,$14.80 
2/7/18,$15.86 ,3317964,$15.63 ,$16.02 ,$15.43 
2/8/18,$15.48 ,4876164,$15.83 ,$15.99 ,$15.42 
2/9/18,$15.66 ,6597872,$15.56 ,$15.78 ,$15.35 
2/12/18,$15.73 ,4841566,$15.85 ,$16.14 ,$15.52 
2/13/18,$15.47 ,3252157,$15.62 ,$15.72 ,$15.29 
2/14/18,$15.75 ,2347565,$15.37 ,$15.87 ,$15.37 
2/15/18,$15.70 ,6479490,$15.77 ,$15.94 ,$15.37 
2/16/18,$16.39 ,9948151,$16.51 ,$16.75 ,$16.17 
2/20/18,$16.10 ,6572349,$16.41 ,$16.49 ,$15.93 
2/21/18,$16.22 ,10173770,$16.25 ,$16.44 ,$15.96 
2/22/18,$16.88 ,11164980,$16.11 ,$17.11 ,$15.99 
2/23/18,$16.88 ,8235974,$16.98 ,$17.26 ,$16.49 
2/26/18,$16.62 ,7276706,$16.95 ,$17.02 ,$16.53 
2/27/18,$16.28 ,3110325,$16.57 ,$16.80 ,$16.27 
2/28/18,$15.95 ,3022516,$16.23 ,$16.31 ,$15.94 
3/1/18,$15.98 ,3279371,$16.22 ,$16.35 ,$15.82 
3/2/18,$16.14 ,7856901,$15.87 ,$16.53 ,$15.81 
3/5/18,$16.27 ,3065900,$16.11 ,$16.36 ,$15.97 
3/6/18,$16.60 ,5010161,$16.27 ,$16.64 ,$16.19 
3/7/18,$16.63 ,3207319,$16.45 ,$16.81 ,$16.39 
3/8/18,$17.12 ,6056017,$16.95 ,$17.40 ,$16.85 
3/9/18,$17.52 ,3870626,$17.36 ,$17.58 ,$17.08 
3/12/18,$17.35 ,3789846,$17.46 ,$17.65 ,$17.29 
3/13/18,$17 ,3670394,$17.36 ,$17.49 ,$16.96 
3/14/18,$16.99 ,2273217,$17 ,$17.12 ,$16.86 
3/15/18,$16.76 ,2476887,$17.02 ,$17.16 ,$16.75 
3/16/18,$17.10 ,3569077,$16.85 ,$17.15 ,$16.81 
3/19/18,$17.16 ,2028734,$17.07 ,$17.21 ,$17 
3/20/18,$17.32 ,2245457,$17.11 ,$17.34 ,$17.04 
3/21/18,$17.37 ,3173967,$17.38 ,$17.50 ,$17.32 
3/22/18,$17.17 ,3139536,$17.22 ,$17.49 ,$17.04 
3/23/18,$16.79 ,2995392,$17.22 ,$17.35 ,$16.78 
